,LATITUDE,LONGITUDE,SHELF,NewRegion,zone,FULLREEF_ID,REEF,REEF_SITE_NO,VISIT_NO,REPORT_YEAR,Year,Date,time,ACBX,ACTO,CBRN,MSE,COVER.HC,Chla,COTS_exp,Cycl_exp,DHW_exp,DINe,Mud,PAR,Sal,CIacute,TCI3_COTS,TCI5_COTS,DINriv,DHWpa,Cyclpa,COTSpa,sedWQI,Rel.Dist.shelf,Dist.barr,tot_Rivinflu
1,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,2,1994,1994,14/02/1994,19940214,3.034285714,2.638226601,2.386338259,9.126896552,18.4265353,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001809344,0,0,0,0.0614,0.963402427,0.01499,527.7630326
2,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,3,1995,1995,12/04/1995,19950412,2.796301446,4.502919911,5.023637375,10.27252503,24.30520022,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000387263,0,0,0,0.0614,0.963402427,0.01499,112.9598073
3,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,4,1996,1996,11/01/1996,19960111,3.033203305,6.577998192,3.957185671,10.3385218,26.34986601,0.086281586,0,0,1.3,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.001293133,0,0,0,0.0614,0.963402427,0.01499,377.1908016
4,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,5,1997,1997,28/01/1997,19970128,2.327148563,7.538860972,5.545999227,10.16540394,28.81331014,0.086281586,0,0,1.53,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005891406,0,0,0,0.0614,0.963402427,0.01499,1718.449628
5,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,6,1998,1998,27/01/1998,19980127,2.8,8.6,5.6,12.7,32.4,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005366573,0,0,0,0.0614,0.963402427,0.01499,1565.362304
6,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,7,1999,1999,29/01/1999,19990129,1.916653977,12.04931417,4.963574672,11.44953204,34.83816909,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.003483986,0,1,0,0.0614,0.963402427,0.01499,1016.235325
7,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,8,2000,2000,24/01/2000,20000124,2.431168664,8.379783533,7.682953228,9.894614096,33.95296998,0.086281586,0,0,0.47,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.008708465,0,1,0,0.0614,0.963402427,0.01499,2540.150761
8,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,9,2001,2001,29/01/2001,20010129,4.9,10.7,8.1,10.2,37.6,0.086281586,0,0,0,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
9,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,10,2002,2001,15/09/2001,20010915,3.2,10.9,7.2,11.9,37.2,0.086281586,0,0,1.26,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.005416316,0,0,0,0.0614,0.963402427,0.01499,1579.871783
10,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,11,2003,2002,26/10/2002,20021026,2.4,10.6,6.5,12.2,36,0.086281586,0,0,3.24,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.002981903,1,0,0,0.0614,0.963402427,0.01499,869.7840311
11,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,12,2004,2004,6/01/2004,20040106,4.717460317,9.993121693,6.481481481,9.345502646,33.54338624,0.086281586,0,0,0.45,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.000898972,0,0,0,0.0614,0.963402427,0.01499,262.2189377
12,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,13,2005,2005,28/01/2005,20050128,7.4,8.7,6.9,8.9,36,0.086281586,0,0,2.22,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
13,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,14,2006,2005,19/10/2005,20051019,3.9,5.4,6.1,8.1,27.5,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.00283111,0,0,0,0.0614,0.963402427,0.01499,825.7995055
14,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,15,2007,2007,8/01/2007,20070108,3.914572864,5.008542714,4.409045226,8.822110553,24.25427136,0.086281586,0,0,0.14,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.006026443,0,0,0,0.0614,0.963402427,0.01499,1757.838243
15,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,16,2008,2008,27/04/2008,20080427,1.9,5.9,5.6,8.5,23,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.018855008,0,0,0,0.0614,0.963402427,0.01499,5499.770763
16,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,17,2009,2009,6/02/2009,20090206,7.613567839,8.106030151,5.903015075,10.31457286,35.64120603,0.086281586,0,0,0.15,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
17,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,18,2010,2009,21/11/2009,20091121,3.9,4.2,6.6,10.3,28.7,0.086281586,0,0,1.61,0.183786083,5.00E-05,15.58085262,0,0,0,0,0.020252447,0,0,0,0.0614,0.963402427,0.01499,5907.386277
18,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,19,2011,2011,27/01/2011,20110127,6.5,4,4.2,9.4,26.5,0.086281586,0,0,1.19,0.183786083,5.00E-05,15.58085262,0,1,0,0,0.0285,0,1,0,0.0614,0.963402427,0.01499,8313.094727
19,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,20,2012,2012,17/02/2012,20120217,0.2,0.4,1.321052632,9.342105263,12.38421053,0.086281586,0,0,1.65,0.183786083,5.00E-05,15.58085262,0,1,0,0,0,0,1,0,0.0614,0.963402427,0.01499,0
20,-16.03838333,145.8687667,O,central,OC,15099C,Agincourt1,Agincourt 11,21,2013,2013,9/01/2013,20130109,0.2,0.8,1.5,11.2,15.8,0.086281586,0,0,0.16,0.183786083,5.00E-05,15.58085262,0,0,0,0,0,0,0,0,0.0614,0.963402427,0.01499,0
